SourceName,Village,Subcounty,GPS,LabIdentifierCode,Ecoli,pH,ElectricalConductivtiy,Turbidity,Color,TotalDissolvedSolids,TotalAlkalinity,Bicarbonates,TotalHardness,CalciumHardness,magnesiumHardness,Sodium,Potassium,Flouride,Chloride,Sulphate,Nitrites,Nitrates,Ammonium,Phosphates,TotalChlorine,FreeChlorine
SourceName,Village,Subcounty,GPS,LabIdentifierCode,CFU_100ml,pH units,µs_cm,NTU,PtCo,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,mg_L,,
NWSC Nkokonjeru PSP,Kigulu,Nkokonjeru T/C,36N 491344E,E22/09931,<1,6.4,132,2.5,20,92.4,50,61,40.2,22.4,17.8,10,1.7,0.24,3.9,0.9,0.01,3.16,0.11,0.07,0.1,0.04
Kibali shallow well,Kibali,Ngogwe,36N 498726E,E22/09934,<1,5.8,166,1.7,<0.2432,116.2,52,63.44,57.6,34.8,22.8,13,3.2,0.19,8.1,6.5,<0.001,4.62,0.06,0.13,ND,ND
Nakigaya Protected spring,Nakigaya,Nujja,36N 506445E,E22/09935,101,5.9,87,3.1,27,60.9,37,45.14,31.4,14.2,17.2,4,1.3,0.2,1.7,3.5,<0.001,2.44,0.08,0.02,ND,ND
Buwooya mosque borehole,Kigayi,Kasubi,36N 504301E,E22/09936,<1,5.9,81,13,22,56.7,38,46.36,35.2,27,8.2,1.8,0.7,0.13,1.3,0.8,0.02,0.25,0.04,0.04,ND,ND
NWSC Buikwe PSP,Majija,Kasubi,36N 503217E,E22/09937,<1,6.4,142,1.4,<0.2432,99.4,65,79.3,49.6,27,22.6,8.3,2.7,0.25,2.5,0.8,<0.001,1.22,0.09,0.05,0.08,0.04
NWSC Buikwe PSP,Misindye upper,Buikwe T/C,36N 503034E,E22/09942,<1,6.8,279,2.2,3,195.3,130,158.6,114.2,61.4,52.8,12,2.3,0.24,7.4,1.5,<0.001,0.69,0.17,0.18,0.01,0
NWSC Lugazi final treated water,Kawuku,Lugazi municipality,36N 496576E,E22/09943,<1,6.1,90,1.7,<0.2432,63,41,50.02,37.4,22.2,15.2,2.9,1.5,0.16,2.9,1.3,<0.001,1.09,0.03,0.02,1.84,1.72
NWSC Lugazi PSP - far point,Kibuba,,36N 494884E,E22/09945,<1,6.2,93,2.1,5,65.1,37,45.14,46.6,20.6,26,4.3,1.7,0.13,4,1.4,<0.001,0.94,0.02,0.01,0.09,0.06
