SourceName,Village,Subcounty,GPS,LabIdentifiercode,FieldTemperature,DissolvedOxygen,Turbidity,Colour,pH,ElectricalConductivity,Totaldisolvedsolids,TotalHardnessasCaCO3,CalciumhardnessasCaCO3,MagnesiumhardnessasCaCO3,Calcium,Magnesium,Sodium,Potassium,Total Alkalinity,Bicarbonates,Fluoride,Sulphates,Chlorides,Nitrates,Nitrites,Ammonium,Phosphate,Silica,Mercury,Lead,Ecoli
SourceName,Village,Subcounty,GPS,LabIdentifiercode,oC,mg_l,NTU,PtCo,pHunits,µS_cm,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,mg_l,CFU_100ml
Makuutu subcounty borehole,Makuutu,Makuutu,36N 566143,E23/01851,27,5.1,1.76,<0.5,6.5,359,251,160,126,34,50,8,15,5.2,152,185,0.09,16.1,2.8,6.48,0.0015,0.006,0.112,53.2,<0.001,<0.015,<1
Busiimo Pri School Borehole,Busiimo,Makuutu,36N 565623,E23/01852,28,5.1,1.95,<0.5,6.4,175,123,50,30,20,12,5,16,5.3,50,61,0.09,7.4,7.1,6.92,0.0015,0.004,0.107,51.8,<0.001,<0.015,<1
